year,ccode,warnum,batdeath,wbgdp2011est,wbpopest,sdpest,wbgdppc2011est,milex,milper,irst,pec,tpop,upop,cinc,v2x_polyarchy,polity2,xm_qudsest,batdeathpc,milexpsdp
1916,235,106,7222,23.278,15.571,22.599,7.707,6425,125,0,1091,6000,592,0.0026710515,0.248,7,0.5626525338277097,0.0012036666666666667,9.845825524377823e-4
1866,240,55,500,15.452,14.422,0,1.335,485,27,60,234,1934,0,0.0032339355,0.13,NA,-0.06255703878735246,2.585315408479835e-4,485000
1870,245,58,5600,15.489,15.358,0,0.761,1247,NA,30,285,4851,173,0.0044664247,0.208,-7,-0.430629553856748,0.0011544011544011544,1247000
1866,245,55,500,15.477,15.348,0,0.76,962,73,30,367,4815,168,0.006881841,0.194,-7,-0.430629553856748,1.0384215991692627e-4,962000
1917,255,106,1773700,26.547,17.965,26.318,8.583,7150000,5380,15501,198269,67368,14643,0.15816878,0.254,2,0.23663103875469887,0.02632852392827455,0.02657932007500259
1941,255,139,3500000,27.285,18.128,27.163,9.158,28900000,7100,20836,264396,90617,25412,0.20238717,0.074,-9,-0.8335432851527271,0.03862409923082865,0.04614841939409403
1939,255,139,3500000,27.199,18.07,27.073,9.129,12000000,2750,23733,255050,79798,23627,0.1779559,0.074,-9,-0.8335432851527271,0.04386074838968395,0.02096653857494552
1944,255,139,3500000,27.28,18.117,27.158,9.163,50736000,6128,18318,250837,90238,25412,0.13621277,0.073,-9,-0.8335432851527271,0.03878632061880804,0.0814229222691398
1914,255,106,1773700,26.662,17.97,26.458,8.691,1785000,862,13810,187335,67790,14279,0.15820104,0.251,2,0.23663103875469887,0.026164626051039978,0.005768658346200043
1940,255,139,3500000,27.255,18.104,27.132,9.151,21200000,3300,21540,256916,90211,25219,0.17135082,0.074,-9,-0.8335432851527271,0.038797929299087694,0.03491869285136375
1870,255,58,44781,25.611,17.454,25.235,8.158,42993,319,1261,28817,31194,1707,0.10604604,0.217,-5,-0.10058541968700799,0.0014355645316407,4.720374981545278e-4
1916,255,106,1773700,26.576,17.977,26.35,8.599,4974000,4580,14871,188756,67715,14576,0.15011773,0.246,2,0.23663103875469887,0.026193605552684043,0.017907962768071776
1866,255,55,10000,25.45,17.332,25.055,8.118,6268,214,977,23397,24342,1155,0.065841906,0.193,-7,-0.43160953022622583,4.108125872976748e-4,8.239118396061937e-5
1915,255,106,1773700,26.604,17.975,26.386,8.629,5014000,3823,12278,174718,67883,14402,0.15111271,0.244,2,0.23663103875469887,0.026128780401573296,0.017413662785651807
1943,255,139,3500000,27.304,18.131,27.183,9.173,44800000,6957,20758,273895,90784,25412,0.15359831,0.073,-9,-0.8335432851527271,0.03855304899541769,0.07012148622993784
1999,255,221,0,NA,NA,NA,NA,31182000,331,42062,464418,82178,25304,0.027760297,0.911,10,2.105603470334559,0,NA
1918,255,108,450,26.529,17.949,26.299,8.581,8779000,8000,14092,189899,66811,14737,0.17243373,0.252,4,0.3947607692457947,6.735417820418793e-6,0.03326093621924306
1919,255,108,750,26.493,17.927,26.259,8.566,80023,114,7847,146740,62897,14803,0.07680358,0.435,6,0.9816117220980008,1.19242571187815e-5,3.155556992795288e-4
1848,255,13,2500,24.914,16.921,24.452,7.993,3445,135,211,4910,16165,530,0.048538107,0.178,-8,-0.6018647909918994,1.546551190844417e-4,8.27600138636937e-5
1849,255,13,2500,24.941,16.933,24.487,8.008,3571,131,211,5140,16331,535,0.048293713,0.165,-8,-0.6444095003000847,1.530830935031535e-4,8.283633424654554e-5
1864,255,46,1048,25.375,17.167,25.02,8.207,5576,212,905,21260,19255,946,0.056731492,0.193,-7,-0.43160953022622583,5.442742144897429e-5,7.59057765881865e-5
1870,267,58,956,15.525,14.149,0,1.601,795,14,10,NA,1458,0,0.0020297873,0.259,-7,-0.430629553856748,6.556927297668039e-4,795000
1866,267,55,100,15.515,14.14,0,1.6,256,8,10,NA,1434,0,0.0012749899,0.255,-7,-0.430629553856748,6.97350069735007e-5,256000
1866,269,55,600,15.481,14.642,0,1.198,344,27,10,2859,2383,159,0.0057243654,0.163,-7,-0.430629553856748,2.517834662190516e-4,344000
1870,271,58,976,15.471,14.366,0,1.391,435,14,10,NA,1806,0,0.0017541021,0.206,-4,-0.16367595723228776,5.404208194905869e-4,435000
1866,271,55,100,15.472,14.349,0,1.404,328,12,10,NA,1761,0,0.0016377172,0.166,-4,-0.16367595723228776,5.6785917092561044e-5,328000
1866,273,55,100,15.538,13.481,0,2.177,150,8,10,420,749,0,0.0011797289,NA,NA,-0.06255703878735246,1.335113484646195e-4,150000
1866,275,55,100,15.429,13.617,0,1.963,147,12,10,NA,856,0,0.0011775042,0.185,NA,-0.06255703878735246,1.1682242990654206e-4,147000
1866,280,55,100,15.439,13.191,0,2.349,NA,5,0,NA,558,0,4.7136808e-4,0.048,NA,-1.0474034719429384,1.7921146953405018e-4,NA
1939,290,139,320000,25.473,17.213,25.14,8.261,968472,275,504,23882,35486,3914,0.018311104,NA,0,0.16293702344256247,0.009017640759736234,0.011692941962297847
1919,290,109,40000,25.093,17.041,24.664,8.052,NA,300,515,31854,24157,1669,0.018781014,0.362,8,0.8940396496777409,0.0016558347476921802,NA
1920,290,117,500,25.104,17.039,24.682,8.065,13545,962,981,35850,26746,1760,0.027165325,0.641,8,0.8940396496777409,1.869438420698422e-5,2.5853694164754864e-4
1917,300,106,1200000,26.087,17.68,25.807,8.408,2862000,839,2896,6891,53898,3257,0.040061295,NA,-4,-0.09052480405109492,0.022264276967605478,0.017735030306254056
1914,300,106,1200000,26.084,17.673,25.805,8.411,1042000,839,2162,32416,52594,4405,0.068234459,NA,-4,-1.0505676284251912,0.0228162908316538,0.0064699155718834
1859,300,28,12500,24.588,17.373,22.947,7.215,22828,355,318,2174,37579,1074,0.082244679,NA,-6,-1.0474034719429384,3.326325873493174e-4,0.002470087782842887
1916,300,106,1200000,26.082,17.681,25.799,8.4,2445000,839,2781,12650,53460,3954,0.043211572,NA,-4,-1.0505676284251912,0.02244668911335578,0.01527268958350862
1866,300,55,28000,25.006,17.35,24.276,7.657,22756,275,275,3062,34482,1122,0.057254829,NA,-4,-1.0474034719429384,8.120178643930166e-4,6.518731337249058e-4
1848,300,10,3927,23.963,17.369,0,6.595,7074,409,158,896,36334,785,0.076032154,NA,-6,0.22991806773157095,1.0808058567732703e-4,7074000
1849,300,10,3927,24.013,17.372,0,6.642,15472,408,141,902,36424,793,0.08976455,NA,-6,-1.0474034719429384,1.07813529540962e-4,15472000
1915,300,106,1200000,26.083,17.677,25.802,8.405,2013000,3800,2667,28000,53025,4126,0.062424302,NA,-4,-1.0505676284251912,0.02263083451202263,0.012536536019886572
1849,300,16,100,24.013,17.372,0,6.642,15472,408,141,902,36424,793,0.08976455,NA,-6,-1.0474034719429384,2.745442565341533e-6,15472000
1864,300,46,500,24.876,17.364,23.964,7.512,10644,298,375,3101,36529,1052,0.039720401,NA,-4,-1.0474034719429384,1.3687754934435653e-5,4.1655456817189015e-4
1941,310,139,136000,24.457,16.011,24.188,8.446,110555,NA,782,8655,9344,1357,0.0048100883,0.275,-1,0.21531742227338527,0.014554794520547944,0.0034583063383176915
