warnum,year,batdeath,batdeathpc,tpop,milper,milex,sum_sdpest,mea_sdpest,med_sdpest,min_sdpest,max_sdpest,sum_wbgdp2011est,mea_wbgdp2011est,med_wbgdp2011est,min_wbgdp2011est,max_wbgdp2011est,min_polyarchy,med_polyarchy,mea_polyarchy,max_polyarchy,min_polity2,med_polity2,mea_polity2,max_polity2,wpop
88,1906,1400,4.0229885057471265e-4,3480,18,1156,2570361490.2073755,642590372.5518439,662752410.0080433,406461592.8684705,838395077.3228185,6567497716.50331,1641874429.1258276,1714220446.9207664,1052043184.158773,2087013638.5030048,0.093,0.1265,0.128,0.166,-9,-7.5,-6,0,1139797000
91,1907,1400,5.645161290322581e-4,2480,12,335,1539550034.1141331,384887508.5285333,363307101.3403684,299312878.31115437,513622953.122242,4169628927.926976,1042407231.981744,970107147.3510337,848516424.8801576,1380898208.3447516,0.092,0.0935,0.109,0.157,-6,-5,-5.333333333333333,-5,1145085000
94,1909,10000,4.1785057663379577e-4,23932,117,9241,47006227422.36811,23503113711.184055,23503113711.184055,1368525883.4447787,45637701538.92333,72915748004.05098,36457874002.02549,36457874002.02549,6313777580.120538,66601970423.930435,0.032,0.115,0.115,0.198,-6,0,0,6,1174618000
97,1911,20000,3.3195571710733786e-4,60249,627,40502,125244934791.04474,62622467395.52237,62622467395.52237,17179798076.013361,108065136715.03137,179424289785.64563,89712144892.82281,89712144892.82281,33843067001.175274,145581222784.47037,0.151,0.22949999999999998,0.22949999999999998,0.308,-1,-1,-1,-1,1198208000
100,1912,142000,0.0016264446149793258,87307,842,39457,67680280949.37208,13536056189.874414,18006524475.013935,6139443869.479746,18006524475.013935,126139751729.87567,25227950345.975132,34217395771.953293,10899687979.087536,34217395771.953293,0.134,0.161,0.20183333333333334,0.4,-9,-1,0.3333333333333333,10,1210322600
103,1913,114500,0.002183864199885562,52430,2950,40964,68150481160.91578,9735783022.987968,6345425521.942527,6345425521.942527,18854171008.056877,117209630142.60213,16744232877.51459,11220406877.777645,11220406877.777645,34769277383.77491,0.097,0.22,0.227125,0.401,-4,1.5,2.25,10,1212508000
106,1914,58015524,0.016579127719713968,3499311,87163,86826132,12513419170256.135,148969275836.38257,102232454008.98087,5122969047.421993,815445152123.9275,16085438118806.94,191493310938.17786,149695192381.24573,10357741001.985596,924020412690.0713,0.075,0.248,0.25811688311688313,0.519,-9,-1,-0.06578947368421052,10,1219457000
107,1918,19750,6.795254675823344e-5,290644,16,521023,140526491356.56662,35131622839.141655,36557307855.47542,207781997.68825173,67204093647.92754,477327798890.0827,119331949722.52068,121313987572.15175,1304388258.001312,233395435487.7779,0.137,0.1865,0.269,0.566,-1,-1,2,8,1253894000
108,1918,34042,5.4275715276504494e-5,627205,9849,10890598,948793644180.9799,94879364418.09799,54645447049.57727,269748337.7779672,263943261913.3831,1651644061069.3403,165164406106.93402,219169450493.65524,1376761721.5522707,332198992065.00287,0.106,0.3435,0.314,0.505,-1,5,4.125,10,1253894000
109,1919,100000,6.008820949153357e-4,166422,1850,1417699,93543165249.68234,46771582624.84117,46771582624.84117,42086800451.227,51456364798.45534,283966087274.1437,141983043637.07184,141983043637.07184,79022621774.61107,204943465499.5326,0.106,0.23399999999999999,0.23399999999999999,0.362,-1,3.5,3.5,8,1223685000
112,1919,17000,4.3724279835390947e-4,38880,496,65477,86143770454.84242,21535942613.710606,18117895295.502033,17456885634.521584,32451094229.316776,128950603360.1582,32237650840.03955,28241712381.579765,25860951399.39815,46606227197.600525,0.218,0.218,0.228,0.248,-7,-5.5,-2.75,7,1223685000
115,1919,50000,0.0021122892991424103,23671,187,86777,21585902150.564438,10792951075.282219,10792951075.282219,7812571469.007124,13773330681.557314,42218404905.27348,21109202452.63674,21109202452.63674,13609038438.34011,28609366466.933372,0.105,0.2375,0.2375,0.37,NA,NA,NA,NA,1223685000
116,1919,40000,7.84821551199796e-4,50967,2493,668257,173383462097.96075,86691731048.98038,86691731048.98038,13773330681.557314,159610131416.40344,226503886779.87775,113251943389.93887,113251943389.93887,28609366466.933372,197894520312.94437,0.105,0.323,0.323,0.541,9,9,9,9,1223685000
117,1920,1000,3.4693311129614214e-5,28824,1012,19057,52390965538.39414,26195482769.19707,26195482769.19707,1,52390965537.39414,81832882369.91405,40916441184.95702,40916441184.95702,1936213309.0000172,79896669060.91403,0.45,0.5455,0.5455,0.641,4,6,6,8,1266644000
118,1929,3200,5.066465696860691e-6,631604,2262,2910326,236449383804.52075,118224691902.26038,118224691902.26038,1,236449383803.52075,889494551479.6484,444747275739.8242,444747275739.8242,403725084757.413,485769466722.2355,0.099,0.1015,0.1015,0.104,-8,-6.5,-6.5,-5,1380790000
121,1931,60000,1.0859807129825374e-4,552496,1992,295557,152586883710.1321,76293441855.06606,76293441855.06606,1,152586883709.1321,710529348180.9238,355264674090.4619,355264674090.4619,221347566021.21082,489181782159.713,0.092,0.152,0.152,0.212,-5,-2,-2,1,1410442000
124,1932,92661,0.027495845697329376,3370,10,4719,3661348637.7550755,1830674318.8775377,1830674318.8775377,1640062191.9758604,2021286445.779215,7204924453.008121,3602462226.5040603,3602462226.5040603,2611002280.2828503,4593922172.72527,0.153,0.18,0.18,0.207,-3,-0.5,-0.5,2,1427722000
125,1934,2100,4.2909685328974253e-4,4894,22,0,2865475094.3081355,1432737547.1540678,1432737547.1540678,1,2865475093.3081355,10072802779.010939,5036401389.505469,5036401389.505469,3821848335.4833636,6250954443.5275755,0.009,0.009,0.009,0.009,-10,-10,-10,-10,1455532000
